userName,score,at,content
Edz,5,2026-05-07 04:31:09,ikon cuacanya yang perlu dibuat menarik. keakuratan udah nomer 1
Matahari Hari,5,2026-05-07 04:09:14,sangat membantu info dan ada peringatan tsunami atau gempa bumi
Teguh wiraguna,5,2026-05-05 04:20:01,mantap apk tp krng akurat tdk pasti .
Nuraini Firmansyah,1,2026-05-04 22:26:08,"gempanya pagi , informasinya tengah hari .. appaa inii???"
Kayato Kyt,5,2026-05-04 10:47:18,bagus
Musuh Birokrasi,1,2026-05-04 08:38:45,"hanya tampil logo saja, hampir 5 menit baru masuk ke halaman utama"
Adinda Annisa Diva Pratiwi,5,2026-05-03 19:03:01,mohon bantuannya. ini saya sudah coba ubah lokasi kenapa selalu di gunung Sahari Selatan ya? terimakasih
Agung adrian Putra,1,2026-05-03 09:57:30,perbaikin masalah login nya masa cuman ngestak dilogo saja
Jumade Arling,5,2026-05-02 23:11:01,sangat membantu
Satory,2,2026-05-02 11:41:42,kondisi cuaca maritim sudah tidak update
Fadlan Farabi,2,2026-05-02 06:46:32,"Tolong untuk fitur notifikasi Peringatan Dini Cuaca BMKG untuk yang GPSnya berada di wilayah Kabupaten Bogor, Kabupaten Bekasi dan Kabupaten Tangerang mendapatkan informasi Peringatan Dini Cuaca yang tidak sesuai dengan wilayahnya (malahan mendapatkan Peringatan Dini Cuaca BMKG untuk wilayah lain yang bukan Jabodetabek). Mohon ditinjau dan secepatnya diperbaiki. Jika sudah diperbaiki akan saya beri bintang 5. Terimakasih banyak atas perhatiannya."
Rahma yati,1,2026-04-30 17:56:57,"lama banget muncul update beritanya kalau ada gempa terjadi, gempa 30 menit yang lalu belum ada beritanya sampai sekarang."
Aziz Muhammad Husain,1,2026-04-30 11:16:40,"Aplikasi jelek ga bisa dibuka, pake android atau iphone sama aja susah dibuka"
khoirul keong,1,2026-04-29 13:00:21,"lebih bagus apk cuaca aplikasi lainnya tapi minus nya sekarang kok gak bisa di akses publik , tingkatkan lagi dong bmkg update selalu telat terus😠"
Ade Chandra,1,2026-04-28 22:18:02,Ga bs dibuka
Rahmat Chanel,2,2026-04-28 19:16:50,tolong di perbaiki sering eror
Muhammad Azrielfirdaus,4,2026-04-27 13:59:14,bagus
Damar,4,2026-04-27 12:25:43,"Oke tapi menurut saya UI menu hamburgernya (garis tiga di pojok atas kiri di beranda) perlu dibetulkan. Kalau dipencet malah memenuhi layar, jadinya kurang nyaman."
Adit,1,2026-04-27 07:00:16,"aplikasinya stuck di loading, overall semuanya udah oke"
agun satria,1,2026-04-27 02:53:10,GPS nya tidak berfungsi selalu menunjuk ke lokasi gunung sahari selatan padahal saya di banjarmasin
Slamet Ahmad,1,2026-04-26 11:35:36,kok mulai hari ini tampilan radar cuaca jadi peta buta gk ada kondisi awan hujannya
Naufal Afkar,4,2026-04-24 23:06:27,"bagus buat suara kayak gempa tapi harus ada peringatan kayak peringatan gempa, peringatan tsunami dan dll semoga di baca aminnnn❤❤❤❤❤"
Aqiqah Malang,4,2026-04-21 04:53:49,bagus
Dian Bayu Nurhadi,1,2026-04-14 11:40:56,aplikasi tidak bisa di buka
Rudi Kussoy,5,2026-04-14 08:22:43,congratulations
Ambang Haryono,5,2026-04-13 10:50:28,Aplikasi ini sangat bagus dan jadi bisa mengetahui kalo ada gempa bumi 🙂♥️👍
bonzae kecil,5,2026-04-12 08:32:37,bagus cukup membantu
Rizal Linda,5,2026-04-11 13:02:34,mantul
JsstTonii,1,2026-04-11 07:11:01,Sebelum2nya aplikasi masih bisa dibuka walaupun loadingnya sangat lama. sekarang aplikasi tidak bisa diakses sama sekali. mohon diperbaiki🙏
Bula Yusuf,3,2026-04-10 17:32:28,"bagus,cmn kadang sistemnya Gk bisa di buka,tolong di perbaiki lagi yahh"
mamat gratis,5,2026-04-10 07:27:11,sangat membantu sekali untuk perkiraan cuaca di tempat saya
Nur Hidayati,3,2026-04-10 06:48:11,"banyak yg nggak akurat infonya, di sini hujan deras tp info di app nya berawan tebal"
Tuban Indah 2019,5,2026-04-09 08:04:21,saya sangat senang menggunakan aplikasi infobmkg saya sangat puas dengan aplikasi infobmkg
Kaharudin Syah,1,2026-04-08 21:08:44,masih ada bug gak bisa dibuka kalau pun bisa cuma item doang dilayar
ARIANDA,3,2026-04-08 12:15:51,tes dulu ya bosqu
Barkah Putra,5,2026-04-08 11:43:47,baik
Opick Taufiq,4,2026-04-08 10:16:20,"tolong informasi cuaca nya d perbaiki saat pakai GPS, posisi saya d kabupaten tangerang dkt dng kota tangerang , tp yg d tampilkan malah peta d banten , bahkan posisi kab tangerang tidak ada keterangan informasi cuaca nya, tolong d perbaiki lebih baik lagi ...."
Berstein Parsaulian,5,2026-04-08 06:01:05,bagus
Ryan Hidayat,1,2026-04-08 01:37:24,"udah macem game berat aja ,sampai android 10 pun tidak bisa install ini aplikasi, emang parah aplikasi di Indonesia"
Muhammad Aziz Khaidir,5,2026-04-07 11:17:24,aplikasi nya sudah sangat akurat dari pada aplikasi bawaan hp. tapi saya kasih masukan buat bisa nambahin widgetnya. widgetnya penting biar gak selalu buka aplikasi buat liat perkiraan cuaca
Rhembo Rhembo,4,2026-04-05 11:51:19,yah lumayan dari pada ga ada info
Hendry Helfian Rafel,3,2026-04-04 11:40:57,mentok di logo doang jadi gak worthit tolong lah diperbaiki
Edwin Erwin,1,2026-04-04 11:30:07,kenapa lokasinya tdk bisa diupdate...tolong diperbaiki
Lies S,3,2026-04-04 11:19:35,"bad banget, prakiraan tidak akurat banyak melesetnya, ketika hujan badai prakiraan hujan sedang, berawan tapi hujan"
Alexad DUMALANG,5,2026-04-04 02:21:02,coba dulu
Udhink Sandhi,4,2026-04-03 21:34:35,"notifikasi gempanya nya ber kali² pd jam, menit, detik yg sama. seharusnya cukup sekali. sebaiknya setiap notifikasi gempa di sertai dgn skala MMI nya."
Nopranto N-pran,5,2026-04-03 10:52:22,"info BMKG ini supaya kita dapat melihat situasi di dekatnya kita,agar kita waspada"
Muh Mishbah,4,2026-04-02 15:22:12,Apknya sudah bagus. tapisampai saat ini tidak ada Update terbaru.. mungkin update terbarunya sudah menggunakan Alarm Notif Gempa.. agar masyarakat bisa aktifkan Alarm saat tidur
Agus Tri Permana,1,2026-04-02 07:48:58,"setelah d update mlah gx bsa d buka, parah. uninstall, deh"
Windar Adi S,3,2026-04-02 07:21:29,Tolong berikan fitur peringatan 30 menit sebelum gempa bumi terjadi...masak setelah 10 menit gempa terjadi baru di kasih peringatan...kan tololl..
Pa Iwakan,4,2026-04-02 07:06:54,"Walaupun gps sudah aktif, lokasinya tetap Gunung Sahari"
Oval Police,5,2026-04-02 03:29:16,bermanfaat banten sih ini. informasi yang di berikan lebih banyak dari pada yang saya duga.
Wibowo Laksono,5,2026-04-02 03:17:44,"kekurangan : - peta infografis tambahan terlalu kecil, alangkah lebih bagus kalau bisa di zoom. - lokasi pengguna tidak akurat, posisi tidak update real-time dan tidak bisa disetting manual. - notifikasi kejadian telat bbrp menit - alangkah lebih baik kalau terdapat link yg terhubung ke sar atau bpbd setempat"
Anderson Nanyo,5,2026-04-01 23:00:39,mantap
Murdani Dani,5,2026-04-01 22:51:20,mantap
Abdul Ghani,1,2026-04-01 13:52:00,stuck logo gk bisa masuk. app gk jelas
Ivan martinez,5,2026-04-01 04:20:08,oke
